X,Y,OBJECTID,STOPID,STOPCODE,STOPNAME,STOPDESC,LOCATIONTYPE,STOPLAT,STOPLON,PARENTSTATION,MODE
174.83482000031205,-36.94570249864325,1749020,1725,1725,145 Station Rd,,Stop,-36.9457025,174.83482,51361,School Bus
174.688079166128659,-36.895941943654172,1749021,1732,1732,Opp 57A Ash St,,Stop,-36.89594194,174.68807917,11176,School Bus
174.77764166621472,-36.887319166164801,1749022,1753,1753,137 Market Rd Opp St Cuthberts,,Stop,-36.88731917,174.77764167,11817,School Bus
174.682653333382859,-36.902771109831193,1749023,1783,1783,9 Binsted Rd,,Stop,-36.90277111,174.68265333,51645,School Bus
174.878528611479283,-36.993579721416054,1749024,1812,1812,Bay 12 Manukau Bus Station,,Stop,-36.99357972,174.87852861,51252,School Bus
174.921712222617572,-36.930608332073511,1749025,1938,1938,Opp 75 Kilkenny Dr,,Stop,-36.93060833,174.92171222,61137,School Bus
174.92111694433612,-37.019314443897642,1749026,2087,2087,495 Porchester Rd,,Stop,-37.01931444,174.92111694,51095,School Bus
174.829589999600984,-36.974327776926131,1749027,2095,2095,43 Cheviot St,,Stop,-36.97432778,174.82959,51292,School Bus
174.802810000101999,-36.953562776699961,1749028,2096,2096,18 Robertson Rd,,Stop,-36.95356278,174.80281,51628,School Bus
174.901692221715308,-36.926173332154939,1749029,2117,2117,1r Burswood Dr,,Stop,-36.92617333,174.90169222,31749,School Bus
174.901330000468334,-36.927280277124375,1749030,2126,2126,Opp 1r Burswood Dr,,Stop,-36.92728028,174.90133,31749,School Bus
174.901009999597818,-36.924321388391888,1749031,2128,2128,44 Burswood Dr,,Stop,-36.92432139,174.90101,31755,School Bus
174.897979999729671,-36.921715277016908,1749032,2130,2130,86 Burswood Dr,,Stop,-36.92171528,174.89798,31756,School Bus
174.894677222245349,-36.925910554234797,1749033,2132,2132,212 Burswood Dr,,Stop,-36.92591056,174.89467722,31760,School Bus
174.949459444304438,-36.981101387851574,1749034,2137,2137,1 Umbria Lane,,Stop,-36.98110139,174.94945944,61109,School Bus
174.915979444902405,-36.905397777303143,1749035,2165,2165,19 Lexington Dr,,Stop,-36.90539778,174.91597944,31662,School Bus
174.852729999898884,-36.988641665905106,1749036,2198,2198,Milan Rd for Papatoetoe South School,,Stop,-36.98864167,174.85273,51276,School Bus
174.921630000117318,-36.930558332210282,1749037,2221,2221,75 Kilkenny Dr,,Stop,-36.93055833,174.92163,61137,School Bus
174.862360000403982,-37.027539443391596,1749038,2225,2225,31 Burundi Ave,,Stop,-37.02753944,174.86236,51169,School Bus
174.939507222058495,-36.906559166032196,1749039,2227,2227,Howick College Bus Bay,,Stop,-36.90655917,174.93950722,31715,School Bus
174.842461389124566,-36.966118331973775,1749040,2230,2230,44 Middlemore Crescent,,Stop,-36.96611833,174.84246139,51368,School Bus
174.924260000440142,-36.905377221695481,1749041,2232,2232,2 Wood Ave,,Stop,-36.90537722,174.92426,31652,School Bus
174.84874472227304,-36.978952221249244,1749042,2239,2239,Opp 8 Hillcrest Rd,,Stop,-36.97895222,174.84874472,51305,School Bus
174.837249999723156,-36.964481666090357,1749043,2241,2241,81 Gray Ave,,Stop,-36.96448167,174.83725,51378,School Bus
174.885010000243255,-37.028876387619242,1749044,2243,2243,1 Friedlanders Rd,,Stop,-37.02887639,174.88501,51142,School Bus
174.888109999567348,-37.034131387986257,1749045,2245,2245,59 Friedlanders Rd,,Stop,-37.03413139,174.88811,51144,School Bus
174.852620000525832,-36.989004443948964,1749046,2247,2247,51 Milan Rd,,Stop,-36.98900444,174.85262,51276,School Bus
174.890800000015105,-37.009180277002002,1749047,2249,2249,Opp 2 Orams Rd,,Stop,-37.00918028,174.8908,51086,School Bus
174.918329999509098,-37.039359165688779,1749048,2253,2253,21 Manuroa Rd,,Stop,-37.03935917,174.91833,51074,School Bus
174.874370000378264,-36.982616388056435,1749049,2255,2255,31 Puhinui Rd,,Stop,-36.98261639,174.87437,51248,School Bus
174.872570000316472,-37.036646387621225,1749050,2257,2257,Opp 294 Mahia Rd,,Stop,-37.03664639,174.87257,51159,School Bus
174.904655277652409,-36.959556388365073,1749051,2259,2259,Sancta Maria Bus Bay,,Stop,-36.95955639,174.90465528,31777,School Bus
174.876787222606026,-36.981877498945799,1749052,2269,2269,Puhinui Rd and Great South Rd,,Stop,-36.9818775,174.87678722,51621,School Bus
174.848879999768428,-36.991105554475567,1749053,2271,2271,Milan Rd and Puhinui,,Stop,-36.99110556,174.84888,51277,School Bus
174.874413888749473,-36.922216387771279,1749054,2275,2275,Edgewater College Bus Bay,,Stop,-36.92221639,174.87441389,31932,School Bus
174.907028610591567,-37.02893360997011,1749055,2277,2277,Greenmeadows Intermediate,,Stop,-37.02893361,174.90702861,51212,School Bus
174.918313889345256,-36.899796109972257,1749056,2279,2279,Howick Intermediate School Grounds,,Stop,-36.89979611,174.91831389,31637,School Bus
174.922716666512429,-36.912009443410199,1749057,2281,2281,Botany Downs School Bus Bay,,Stop,-36.91200944,174.92271667,31656,School Bus
174.939352222215746,-36.913064720948292,1749058,2283,2283,Somerville Intermediate School Bus Bay,,Stop,-36.91306472,174.93935222,31721,School Bus
174.910650000112014,-36.882464165829127,1749059,2287,2287,Bucklands Beach Intermediate Bus Bay,,Stop,-36.88246417,174.91065,31585,School Bus
174.886719999594277,-37.031929443360731,1749060,2291,2291,35 Friedlanders Rd,,Stop,-37.03192944,174.88672,51143,School Bus
174.890410000348766,-37.044096387627583,1749061,2293,2293,101 Wattle Farm Rd,,Stop,-37.04409639,174.89041,51119,School Bus
174.890490000446135,-36.981524443108476,1749062,2295,2295,69 Boundary Rd,,Stop,-36.98152444,174.89049,31817,School Bus
174.834420000247036,-36.977093609887028,1749063,2299,2299,Kedgley Intermediate Bus Bay,,Stop,-36.97709361,174.83442,51288,School Bus
174.862103333611202,-37.027694443363352,1749064,2306,2306,44 Burundi Ave,,Stop,-37.02769444,174.86210333,51169,School Bus
